Percentile,Model,RMSE,MAE
p0p100,ARIMA,83.91345476466606,53.465431960013824
p0p100,Holt's Linear,98.67867724569567,65.31650210006326
p0p100,Naive Forecast,43.622355236922026,33.861084299287995
p0p100,Random Forest,128.55578066853667,123.33753784762193
